Day,AvgTemp,AvgDP,AvgH,AvgW,AvgP,P
1,59.2,53.1,81.3,8,29.7,0
2,48,23.3,38.7,10.7,29.8,0.12
3,34.9,12.8,41.1,6.4,30.3,0
4,26.7,6.2,42.8,5.5,30.5,0
5,28.6,1.2,33.3,4.3,30.6,0
6,36.9,17.7,47,5.3,30.5,0
7,47.5,41.7,80.5,4.3,30.2,0
8,54.7,34,49.6,11.5,29.9,0.16
9,55.2,22.6,29.2,10.2,29.9,0
10,37.4,25.8,66.1,7.6,29.9,0
11,26.2,9.7,50,5.8,30.2,0.24
12,27.7,9.4,46.7,4.9,30.3,0
13,30.1,11.8,48.3,6.2,30.4,0
14,30.8,27.5,88.1,14.1,29.6,0.32
15,25.9,15.7,65.3,8.3,29.6,0.71
16,33.3,15,49.3,8.7,30,0
17,38.1,19.1,47.5,8.1,30.2,0
18,36.8,27.7,70.9,12.2,30.2,0
19,41.9,24.3,52.2,9.8,30.2,0.07
20,44.4,19.1,38.2,5.2,30.1,0
21,50.4,29,44.5,5.6,29.9,0
22,38.4,12.2,34.7,4.8,30.1,0
23,35,9.2,37.9,6.4,30.5,0
24,44.8,28.6,53.9,9,30.3,0
25,50.7,38.3,63.4,7.8,30.2,0
26,41.1,35.3,79.8,12.9,30.4,0.1
27,44.7,41.8,89.7,7,30.1,0.02
28,44.4,42.5,93.1,9.9,29.9,0.42
29,50.3,34.9,60.1,4.7,30.1,0.43
30,44.5,27,51,6.9,30.2,0
31,40.4,37.8,91,14.9,30,0.33